date	e1	e2
2006-01-04	0	.0146
2006-01-05	-.0297	.02
2006-01-06	-.0037	.0087
2006-01-09	-.0124	.012
2006-01-10	.0322	.0071
2006-01-11	.0174	-.0079
2006-01-12	-.0248	.0178
2006-01-13	.0161	.0008
2006-01-16	-.031	-.0117
2006-01-17	.0037	.0055
2006-01-18	.0347	.0226
2006-01-19	-.0211	.0106
2006-01-20	-.0483	.0032
2006-01-23	-.0037	.0012
2006-01-24	-.0248	-.0024
